line,match
"Сочи, ул. Конституции СССР, дом 18, 4","Match(start=0, stop=34, fact=Addr(parts=[AddrPart(value='Сочи', type=None), AddrPart(value='Конституции', type='улица'), AddrPart(value='18', type='дом')]))"
"г. Казань, ул. Даурская, д. 44Б","Match(start=0, stop=31, fact=Addr(parts=[AddrPart(value='Казань', type='город'), AddrPart(value='Даурская', type='улица'), AddrPart(value='44Б', type='дом')]))"
"г. Благовещенск | ИП Островская М.С. | 914 | 538-46-76 | ул. Пионерская, д.150","Match(start=0, stop=78, fact=Addr(parts=[AddrPart(value='Благовещенск', type='город'), AddrPart(value='Пионерская', type='улица'), AddrPart(value='150', type='дом')]))"
"603057, г. Нижний Новгород, пр.Гагарина, 29","Match(start=0, stop=39, fact=Addr(parts=[AddrPart(value='603057', type='индекс'), AddrPart(value='Нижний Новгород', type='город'), AddrPart(value='Гагарина', type='проезд')]))"
"г. Красноярск, ул. Калинина 63 г,","Match(start=0, stop=27, fact=Addr(parts=[AddrPart(value='Красноярск', type='город'), AddrPart(value='Калинина', type='улица')]))"
"141031, Московская область, Мытищинский район, поселок Нагорное, ул. Новая Нагорная, дом 2, стр.1","Match(start=0, stop=97, fact=Addr(parts=[AddrPart(value='141031', type='индекс'), AddrPart(value='Московская', type='область'), AddrPart(value='Мытищинский', type='район'), AddrPart(value='Нагорное', type='посёлок'), AddrPart(value='Новая Нагорная', type='улица'), AddrPart(value='2', type='дом'), AddrPart(value='1', type='строение')]))"
"Красноярск | Адрес | г. Красноярск, ул. Пограничников, 105 А, стр. 12","Match(start=0, stop=69, fact=Addr(parts=[AddrPart(value='Красноярск', type=None), AddrPart(value='Красноярск', type='город'), AddrPart(value='Пограничников', type='улица'), AddrPart(value='12', type='строение')]))"
"Адрес: г. Тюмень, ул. Энергетиков,  102 стр 7","Match(start=7, stop=45, fact=Addr(parts=[AddrPart(value='Тюмень', type='город'), AddrPart(value='Энергетиков', type='улица'), AddrPart(value='7', type='строение')]))"
"Расположен по адресу: ул. им. Карла Маркса, д.53а","Match(start=22, stop=49, fact=Addr(parts=[AddrPart(value='им. Карла Маркса', type='улица'), AddrPart(value='53а', type='дом')]))"
"""16 мая 2017 г. N 15 г. Москва от """"О некоторых вопросах, возникающих при рассмотрении судами дел об административном надзоре за лицами, освобожденными из""","Match(start=21, stop=30, fact=Addr(parts=[AddrPart(value='Москва', type='город')]))"
